
epoch 1

total loss:16.79  Triplet_Loss:4.83  CrossEntropy_Loss:7.12 
total loss:17.60  Triplet_Loss:4.93  CrossEntropy_Loss:7.74 
total loss:17.01  Triplet_Loss:4.64  CrossEntropy_Loss:7.73 
total loss:15.30  Triplet_Loss:3.94  CrossEntropy_Loss:7.43 
total loss:15.51  Triplet_Loss:4.04  CrossEntropy_Loss:7.43 
total loss:16.09  Triplet_Loss:4.35  CrossEntropy_Loss:7.40 
total loss:14.84  Triplet_Loss:3.71  CrossEntropy_Loss:7.42 
total loss:14.71  Triplet_Loss:3.53  CrossEntropy_Loss:7.64 
total loss:14.51  Triplet_Loss:3.50  CrossEntropy_Loss:7.51 
total loss:15.34  Triplet_Loss:3.68  CrossEntropy_Loss:7.99 
total loss:15.25  Triplet_Loss:3.47  CrossEntropy_Loss:8.31 
total loss:14.71  Triplet_Loss:3.42  CrossEntropy_Loss:7.87 
total loss:13.88  Triplet_Loss:3.01  CrossEntropy_Loss:7.85 
total loss:14.56  Triplet_Loss:3.26  CrossEntropy_Loss:8.04 
total loss:14.12  Triplet_Loss:2.97  CrossEntropy_Loss:8.17 
total loss:14.34  Triplet_Loss:3.25  CrossEntropy_Loss:7.84 
total loss:14.05  Triplet_Loss:2.95  CrossEntropy_Loss:8.15 
total loss:14.55  Triplet_Loss:2.92  CrossEntropy_Loss:8.70 
total loss:12.94  Triplet_Loss:2.50  CrossEntropy_Loss:7.95 
total loss:13.76  Triplet_Loss:2.66  CrossEntropy_Loss:8.45 
total loss:13.93  Triplet_Loss:2.77  CrossEntropy_Loss:8.39 
total loss:13.39  Triplet_Loss:2.57  CrossEntropy_Loss:8.25 
total loss:14.16  Triplet_Loss:2.75  CrossEntropy_Loss:8.66 
total loss:13.18  Triplet_Loss:2.38  CrossEntropy_Loss:8.42 
total loss:13.85  Triplet_Loss:2.68  CrossEntropy_Loss:8.49 
total loss:13.20  Triplet_Loss:2.45  CrossEntropy_Loss:8.31 
total loss:12.96  Triplet_Loss:2.28  CrossEntropy_Loss:8.41 
total loss:13.18  Triplet_Loss:2.41  CrossEntropy_Loss:8.35 
total loss:12.71  Triplet_Loss:2.10  CrossEntropy_Loss:8.51 
total loss:12.95  Triplet_Loss:2.27  CrossEntropy_Loss:8.41 
total loss:12.54  Triplet_Loss:2.15  CrossEntropy_Loss:8.25 
total loss:12.74  Triplet_Loss:2.05  CrossEntropy_Loss:8.64 
total loss:12.21  Triplet_Loss:1.98  CrossEntropy_Loss:8.26 
total loss:12.47  Triplet_Loss:2.02  CrossEntropy_Loss:8.43 
total loss:12.49  Triplet_Loss:2.08  CrossEntropy_Loss:8.32 
total loss:12.06  Triplet_Loss:1.94  CrossEntropy_Loss:8.19 
total loss:12.56  Triplet_Loss:2.10  CrossEntropy_Loss:8.36 
total loss:11.96  Triplet_Loss:1.79  CrossEntropy_Loss:8.38 
total loss:11.57  Triplet_Loss:1.71  CrossEntropy_Loss:8.15 
total loss:11.97  Triplet_Loss:1.82  CrossEntropy_Loss:8.33 
total loss:11.56  Triplet_Loss:1.72  CrossEntropy_Loss:8.12 
total loss:11.89  Triplet_Loss:1.78  CrossEntropy_Loss:8.33 
total loss:11.47  Triplet_Loss:1.77  CrossEntropy_Loss:7.93 
total loss:11.38  Triplet_Loss:1.55  CrossEntropy_Loss:8.28 
total loss:11.10  Triplet_Loss:1.70  CrossEntropy_Loss:7.70 
total loss:10.97  Triplet_Loss:1.52  CrossEntropy_Loss:7.93 
start evaluate
Val Loss 8.4113
extract features, this may take a few minutes
[Efficient Without Re-Ranking] mAP: 0.0545 rank1: 0.1387 rank3: 0.2295 rank5: 0.2836 rank10: 0.3700

epoch 2

total loss:10.06  Triplet_Loss:1.60  CrossEntropy_Loss:6.87 
total loss:10.37  Triplet_Loss:1.63  CrossEntropy_Loss:7.11 
total loss:9.97  Triplet_Loss:1.67  CrossEntropy_Loss:6.63 
total loss:9.86  Triplet_Loss:1.51  CrossEntropy_Loss:6.85 
total loss:9.62  Triplet_Loss:1.50  CrossEntropy_Loss:6.62 
total loss:9.79  Triplet_Loss:1.46  CrossEntropy_Loss:6.86 
total loss:9.84  Triplet_Loss:1.48  CrossEntropy_Loss:6.88 
total loss:9.94  Triplet_Loss:1.53  CrossEntropy_Loss:6.88 
total loss:9.71  Triplet_Loss:1.51  CrossEntropy_Loss:6.69 
total loss:9.88  Triplet_Loss:1.60  CrossEntropy_Loss:6.67 
total loss:9.58  Triplet_Loss:1.39  CrossEntropy_Loss:6.79 
total loss:9.74  Triplet_Loss:1.40  CrossEntropy_Loss:6.94 
total loss:9.76  Triplet_Loss:1.47  CrossEntropy_Loss:6.83 
total loss:9.60  Triplet_Loss:1.46  CrossEntropy_Loss:6.68 
total loss:9.65  Triplet_Loss:1.39  CrossEntropy_Loss:6.87 
total loss:9.65  Triplet_Loss:1.55  CrossEntropy_Loss:6.56 
total loss:9.78  Triplet_Loss:1.41  CrossEntropy_Loss:6.96 
total loss:9.42  Triplet_Loss:1.44  CrossEntropy_Loss:6.53 
total loss:9.59  Triplet_Loss:1.47  CrossEntropy_Loss:6.66 
total loss:9.60  Triplet_Loss:1.43  CrossEntropy_Loss:6.75 
total loss:9.59  Triplet_Loss:1.39  CrossEntropy_Loss:6.81 
total loss:9.55  Triplet_Loss:1.44  CrossEntropy_Loss:6.68 
total loss:9.64  Triplet_Loss:1.44  CrossEntropy_Loss:6.77 
total loss:9.64  Triplet_Loss:1.41  CrossEntropy_Loss:6.82 
total loss:9.49  Triplet_Loss:1.40  CrossEntropy_Loss:6.70 
total loss:9.47  Triplet_Loss:1.33  CrossEntropy_Loss:6.80 
total loss:9.61  Triplet_Loss:1.38  CrossEntropy_Loss:6.84 
total loss:9.49  Triplet_Loss:1.40  CrossEntropy_Loss:6.69 
total loss:9.47  Triplet_Loss:1.36  CrossEntropy_Loss:6.75 
total loss:9.68  Triplet_Loss:1.42  CrossEntropy_Loss:6.84 
total loss:9.62  Triplet_Loss:1.44  CrossEntropy_Loss:6.75 
total loss:9.54  Triplet_Loss:1.35  CrossEntropy_Loss:6.84 
total loss:9.46  Triplet_Loss:1.33  CrossEntropy_Loss:6.79 
total loss:9.39  Triplet_Loss:1.35  CrossEntropy_Loss:6.69 
total loss:9.52  Triplet_Loss:1.38  CrossEntropy_Loss:6.77 
total loss:9.60  Triplet_Loss:1.42  CrossEntropy_Loss:6.77 
total loss:9.40  Triplet_Loss:1.34  CrossEntropy_Loss:6.72 
total loss:9.70  Triplet_Loss:1.38  CrossEntropy_Loss:6.94 
total loss:9.43  Triplet_Loss:1.34  CrossEntropy_Loss:6.74 
total loss:9.68  Triplet_Loss:1.37  CrossEntropy_Loss:6.94 
total loss:9.52  Triplet_Loss:1.31  CrossEntropy_Loss:6.89 
total loss:9.62  Triplet_Loss:1.38  CrossEntropy_Loss:6.86 
total loss:9.49  Triplet_Loss:1.34  CrossEntropy_Loss:6.80 
total loss:9.55  Triplet_Loss:1.37  CrossEntropy_Loss:6.80 
total loss:9.56  Triplet_Loss:1.36  CrossEntropy_Loss:6.84 
total loss:9.63  Triplet_Loss:1.35  CrossEntropy_Loss:6.92 
epoch 3

total loss:9.40  Triplet_Loss:1.33  CrossEntropy_Loss:6.75 
total loss:9.23  Triplet_Loss:1.32  CrossEntropy_Loss:6.59 
total loss:9.15  Triplet_Loss:1.28  CrossEntropy_Loss:6.58 
total loss:9.32  Triplet_Loss:1.35  CrossEntropy_Loss:6.63 
total loss:9.20  Triplet_Loss:1.30  CrossEntropy_Loss:6.60 
total loss:9.26  Triplet_Loss:1.37  CrossEntropy_Loss:6.52 
total loss:9.31  Triplet_Loss:1.31  CrossEntropy_Loss:6.70 
total loss:9.27  Triplet_Loss:1.33  CrossEntropy_Loss:6.61 
total loss:9.36  Triplet_Loss:1.33  CrossEntropy_Loss:6.70 
total loss:9.29  Triplet_Loss:1.32  CrossEntropy_Loss:6.65 
total loss:9.28  Triplet_Loss:1.31  CrossEntropy_Loss:6.66 
total loss:9.11  Triplet_Loss:1.27  CrossEntropy_Loss:6.56 
total loss:9.21  Triplet_Loss:1.28  CrossEntropy_Loss:6.64 
total loss:9.35  Triplet_Loss:1.29  CrossEntropy_Loss:6.76 
total loss:9.33  Triplet_Loss:1.31  CrossEntropy_Loss:6.72 
total loss:9.31  Triplet_Loss:1.31  CrossEntropy_Loss:6.70 
total loss:9.25  Triplet_Loss:1.29  CrossEntropy_Loss:6.68 
